,circuitId,name,location,country
0,1,Albert Park Grand Prix Circuit,Melbourne,Australia
1,2,Sepang International Circuit,Kuala Lumpur,Malaysia
2,3,Bahrain International Circuit,Sakhir,Bahrain
3,4,Circuit de Barcelona-Catalunya,Montmeló,Spain
4,5,Istanbul Park,Istanbul,Turkey
5,6,Circuit de Monaco,Monte-Carlo,Monaco
6,7,Circuit Gilles Villeneuve,Montreal,Canada
7,8,Circuit de Nevers Magny-Cours,Magny Cours,France
8,9,Silverstone Circuit,Silverstone,UK
9,10,Hockenheimring,Hockenheim,Germany
10,11,Hungaroring,Budapest,Hungary
11,12,Valencia Street Circuit,Valencia,Spain
12,13,Circuit de Spa-Francorchamps,Spa,Belgium
13,14,Autodromo Nazionale di Monza,Monza,Italy
14,15,Marina Bay Street Circuit,Marina Bay,Singapore
15,16,Fuji Speedway,Oyama,Japan
16,17,Shanghai International Circuit,Shanghai,China
17,18,Autódromo José Carlos Pace,São Paulo,Brazil
18,19,Indianapolis Motor Speedway,Indianapolis,USA
19,20,Nürburgring,Nürburg,Germany
20,21,Autodromo Enzo e Dino Ferrari,Imola,Italy
21,22,Suzuka Circuit,Suzuka,Japan
22,23,A1-Ring,Spielburg,Austria
23,24,Yas Marina Circuit,Abu Dhabi,UAE
24,25,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina
25,26,Circuito de Jerez,Jerez de la Frontera,Spain
26,27,Autódromo do Estoril,Estoril,Portugal
27,28,Okayama International Circuit,Okayama,Japan
28,29,Adelaide Street Circuit,Adelaide,Australia
29,30,Kyalami,Midrand,South Africa
30,31,Donington Park,Castle Donington,UK
31,32,Autódromo Hermanos Rodríguez,Mexico City,Mexico
32,33,Phoenix street circuit,Phoenix,USA
33,34,Circuit Paul Ricard,Le Castellet,France
34,35,Korean International Circuit,Yeongam County,Korea
35,36,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil
36,37,Detroit Street Circuit,Detroit,USA
37,38,Brands Hatch,Kent,UK
38,39,Circuit Park Zandvoort,Zandvoort,Netherlands
39,40,Zolder,Heusden-Zolder,Belgium
40,41,Dijon-Prenois,Dijon,France
41,42,Fair Park,Dallas,USA
42,43,Long Beach,California,USA
43,44,Las Vegas Street Circuit,Nevada,USA
44,45,Jarama,Madrid,Spain
45,46,Watkins Glen,New York State,USA
46,47,Scandinavian Raceway,Anderstorp,Sweden
47,48,Mosport International Raceway,Ontario,Canada
48,49,Montjuïc,Barcelona,Spain
49,50,Nivelles-Baulers,Brussels,Belgium
50,51,Charade Circuit,Clermont-Ferrand,France
51,52,Circuit Mont-Tremblant,Quebec,Canada
52,53,Rouen-Les-Essarts,Rouen,France
53,54,Le Mans,Le Mans,France
54,55,Reims-Gueux,Reims,France
55,56,Prince George Circuit,Eastern Cape Province,South Africa
56,57,Zeltweg,Styria,Austria
57,58,Aintree,Liverpool,UK
58,59,Circuito da Boavista,Oporto,Portugal
59,60,Riverside International Raceway,California,USA
60,61,AVUS,Berlin,Germany
61,62,Monsanto Park Circuit,Lisbon,Portugal
62,63,Sebring International Raceway,Florida,USA
63,64,Ain Diab,Casablanca,Morocco
64,65,Pescara Circuit,Pescara,Italy
65,66,Circuit Bremgarten,Bern,Switzerland
66,67,Circuit de Pedralbes,Barcelona,Spain
67,68,Buddh International Circuit,Uttar Pradesh,India
68,69,Circuit of the Americas,Austin,USA
69,70,Red Bull Ring,Spielburg,Austria
70,71,Sochi Autodrom,Sochi,Russia
71,72,Port Imperial Street Circuit,New Jersey,USA
72,73,Baku City Circuit,Baku,Azerbaijan
73,74,Hanoi Street Circuit,Hanoi,Vietnam
74,75,Autódromo Internacional do Algarve,Portimão,Portugal
75,76,Autodromo Internazionale del Mugello,Mugello,Italy
76,77,Jeddah Street Circuit,Jeddah,Saudi Arabia
